ISim log file
Running: D:\Dropbox\Codespace\PMIPS\sub1\testbench5_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/Dropbox/Codespace/PMIPS/sub1/testbench5_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
WARNING: File "D:/Dropbox/Codespace/PMIPS/sub1/PMIPSL0.V" Line 137.  For instance comp/hzc/, width 1 of formal port EXMEMRegDst is not equal to width 3 of actual variable EXMEMRegDst. 
WARNING: File "D:/Dropbox/Codespace/PMIPS/sub1/PMIPSL0.V" Line 105.  For instance comp/hzc/, width 1 of formal port IDEXRegDst is not equal to width 2 of actual variable IDEXRegDst. 
WARNING: File "D:/Dropbox/Codespace/PMIPS/sub1/PMIPSL0.V" Line 148.  For instance comp/RegDstMux/, width 1 of formal port select is not equal to width 2 of actual variable MEMWBRegDst. 
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.

IO[display,switch0,switch1]

IMEM[PC,Instr]

DMEM[address, rdata, wdata]

ALU[result]

Signals[clock,reset,time]
Finished circuit initialization process.
IMEM[    x,xxxxxxxxxxxxxxxx] DMEM[    x,    0,    x] ALU[    x] Signals[0,1,0], PCStall:[1], Flush: x, IFID:xxxxxxxxxxxxxxxx, IDEX: xxxxxxxxxxxxxxxx, EXMEM:xxxxxxxxxxxxxxxx 
IMEM[    0,0110000010000011] DMEM[    x,    0,    0] ALU[    0] Signals[1,1,1], PCStall:[1], Flush: 0, IFID:0000000000000000, IDEX: 0000000000000000, EXMEM:0000000000000000 
IMEM[    0,0110000010000011] DMEM[    x,    0,    0] ALU[    0] Signals[0,0,2], PCStall:[0], Flush: 0, IFID:0000000000000000, IDEX: 0000000000000000, EXMEM:0000000000000000 
IMEM[    2,0110000100000011] DMEM[    0,    0,    0] ALU[    0] Signals[1,0,3], PCStall:[0], Flush: 0, IFID:0110000010000011, IDEX: 0000000000000000, EXMEM:0000000000000000 
IMEM[    2,0110000100000011] DMEM[    0,    0,    0] ALU[    0] Signals[0,0,4], PCStall:[0], Flush: 0, IFID:0110000010000011, IDEX: 0000000000000000, EXMEM:0000000000000000 
IMEM[    4,0110000110001000] DMEM[    0,    0,    0] ALU[    3] Signals[1,0,5], PCStall:[0], Flush: 0, IFID:0110000100000011, IDEX: 0110000010000011, EXMEM:0000000000000000 
IMEM[    4,0110000110001000] DMEM[    0,    0,    0] ALU[    3] Signals[0,0,6], PCStall:[0], Flush: 0, IFID:0110000100000011, IDEX: 0110000010000011, EXMEM:0000000000000000 
IMEM[    6,0000000001000011] DMEM[    3,    0,    x] ALU[    3] Signals[1,0,7], PCStall:[0], Flush: 0, IFID:0110000110001000, IDEX: 0110000100000011, EXMEM:0110000010000011 
IMEM[    6,0000000001000011] DMEM[    3,    0,    x] ALU[    3] Signals[0,0,8], PCStall:[0], Flush: 0, IFID:0110000110001000, IDEX: 0110000100000011, EXMEM:0110000010000011 
IMEM[    8,0010000000000000] DMEM[    3,    0,    x] ALU[    8] Signals[1,0,9], PCStall:[0], Flush: 0, IFID:0000000001000011, IDEX: 0110000110001000, EXMEM:0110000100000011 
IMEM[    8,0010000000000000] DMEM[    3,    0,    x] ALU[    8] Signals[0,0,10], PCStall:[0], Flush: 0, IFID:0000000001000011, IDEX: 0110000110001000, EXMEM:0110000100000011 
IMEM[    0,0110000010000011] DMEM[    8,    0,    x] ALU[    0] Signals[1,0,11], PCStall:[0], Flush: 0, IFID:0010000000000000, IDEX: 0000000001000011, EXMEM:0110000110001000 
IMEM[    0,0110000010000011] DMEM[    8,    0,    x] ALU[    0] Signals[0,0,12], PCStall:[0], Flush: 0, IFID:0010000000000000, IDEX: 0000000001000011, EXMEM:0110000110001000 
IMEM[    2,0110000100000011] DMEM[    0,    0,    0] ALU[    0] Signals[1,0,13], PCStall:[0], Flush: 0, IFID:0110000010000011, IDEX: 0010000000000000, EXMEM:0000000001000011 
IMEM[    2,0110000100000011] DMEM[    0,    0,    0] ALU[    0] Signals[0,0,14], PCStall:[0], Flush: 0, IFID:0110000010000011, IDEX: 0010000000000000, EXMEM:0000000001000011 
IMEM[    4,0110000110001000] DMEM[    0,    0,    0] ALU[    3] Signals[1,0,15], PCStall:[0], Flush: 0, IFID:0110000100000011, IDEX: 0110000010000011, EXMEM:0010000000000000 
IMEM[    4,0110000110001000] DMEM[    0,    0,    0] ALU[    3] Signals[0,0,16], PCStall:[0], Flush: 0, IFID:0110000100000011, IDEX: 0110000010000011, EXMEM:0010000000000000 
IMEM[    6,0000000001000011] DMEM[    3,    0,    3] ALU[    3] Signals[1,0,17], PCStall:[0], Flush: 0, IFID:0110000110001000, IDEX: 0110000100000011, EXMEM:0110000010000011 
IMEM[    6,0000000001000011] DMEM[    3,    0,    3] ALU[    3] Signals[0,0,18], PCStall:[0], Flush: 0, IFID:0110000110001000, IDEX: 0110000100000011, EXMEM:0110000010000011 
IMEM[    8,0010000000000000] DMEM[    3,    0,    3] ALU[    8] Signals[1,0,19], PCStall:[0], Flush: 0, IFID:0000000001000011, IDEX: 0110000110001000, EXMEM:0110000100000011 
IMEM[    8,0010000000000000] DMEM[    3,    0,    3] ALU[    8] Signals[0,0,20], PCStall:[0], Flush: 0, IFID:0000000001000011, IDEX: 0110000110001000, EXMEM:0110000100000011 
IMEM[    0,0110000010000011] DMEM[    8,    0,    8] ALU[    0] Signals[1,0,21], PCStall:[0], Flush: 0, IFID:0010000000000000, IDEX: 0000000001000011, EXMEM:0110000110001000 
IMEM[    0,0110000010000011] DMEM[    8,    0,    8] ALU[    0] Signals[0,0,22], PCStall:[0], Flush: 0, IFID:0010000000000000, IDEX: 0000000001000011, EXMEM:0110000110001000 
IMEM[    2,0110000100000011] DMEM[    0,    0,    0] ALU[    0] Signals[1,0,23], PCStall:[0], Flush: 0, IFID:0110000010000011, IDEX: 0010000000000000, EXMEM:0000000001000011 
Stopped at time : 24 ns : File "D:/Dropbox/Codespace/PMIPS/sub1/testbenchSubproject3.V" Line 60
